noeud_amont,noeud_aval,type_aretes,distance,arete_id
sommet_15,sommet_95,chemin,16.980935896788,arete_6
sommet_45,sommet_38,chemin,11.317052229727018,arete_25
sommet_28,sommet_72,arrivee,2.6905431193366036,arete_85
sommet_2,sommet_65,chemin,14.328168038034978,arete_7
sommet_98,sommet_18,chemin,13.54282893289003,arete_26
sommet_94,sommet_16,chemin,16.498282306236842,arete_22
sommet_33,sommet_90,depart,5.918738717297066,arete_58
sommet_18,sommet_83,chemin,0.07913907889684157,arete_81
sommet_80,sommet_40,chemin,19.992527286552747,arete_38
sommet_57,sommet_12,chemin,17.301323253313853,arete_44
sommet_96,sommet_61,chemin,11.88550354298474,arete_59
sommet_17,sommet_43,chemin,3.7289532125490044,arete_61
sommet_38,sommet_88,arrivee,10.206350048838342,arete_69
sommet_85,sommet_54,chemin,8.732866189619944,arete_73
sommet_35,sommet_23,chemin,17.62630399761009,arete_39
sommet_10,sommet_100,chemin,3.867812043138723,arete_30
sommet_42,sommet_41,chemin,14.44271813590194,arete_76
sommet_51,sommet_63,chemin,15.973059628342746,arete_60
sommet_97,sommet_6,arrivee,10.843742065536357,arete_11
sommet_46,sommet_51,chemin,18.88559734558178,arete_36
sommet_12,sommet_86,chemin,10.793782116144385,arete_13
sommet_43,sommet_76,chemin,7.143952497046446,arete_77
sommet_67,sommet_0,chemin,13.02166063881603,arete_47
sommet_59,sommet_49,depart,3.6037232725515267,arete_45
sommet_30,sommet_73,chemin,14.979129903147403,arete_82
sommet_65,sommet_94,chemin,10.436586904293714,arete_86
sommet_91,sommet_77,depart,9.974769771052403,arete_87
sommet_56,sommet_39,depart,15.667381412888028,arete_34
sommet_50,sommet_96,depart,1.3545156033443684,arete_49
sommet_11,sommet_1,chemin,4.180196924722715,arete_53
sommet_29,sommet_30,chemin,6.7124318099246665,arete_72
sommet_53,sommet_25,arrivee,13.62992801843929,arete_43
sommet_71,sommet_89,chemin,9.125493126749822,arete_50
sommet_79,sommet_64,arrivee,18.244345752920662,arete_35
sommet_14,sommet_58,depart,9.293978404524966,arete_74
sommet_24,sommet_70,chemin,3.7012089145976668,arete_20
sommet_89,sommet_37,chemin,4.943158656887288,arete_68
sommet_31,sommet_24,depart,18.017265514202055,arete_2
sommet_78,sommet_27,chemin,7.75722585980996,arete_41
sommet_48,sommet_55,chemin,15.99781161897642,arete_33
sommet_26,sommet_10,chemin,17.09785136999258,arete_52
sommet_34,sommet_17,depart,9.25666626668674,arete_14
sommet_40,sommet_9,arrivee,15.950732542754075,arete_42
sommet_8,sommet_52,chemin,15.770048962045909,arete_70
sommet_36,sommet_82,depart,17.71100524549248,arete_80
sommet_23,sommet_92,chemin,8.40590155141712,arete_65
sommet_54,sommet_79,chemin,17.622663556425003,arete_83
sommet_3,sommet_66,arrivee,15.49027107296636,arete_15
sommet_100,sommet_46,chemin,16.60630161635322,arete_63
sommet_27,sommet_21,chemin,1.3745500612046735,arete_17
sommet_16,sommet_85,chemin,11.230616546271255,arete_29
sommet_58,sommet_78,chemin,2.028619368921545,arete_16
sommet_37,sommet_47,chemin,7.911276842731862,arete_79
sommet_83,sommet_87,chemin,13.689524705625896,arete_55
sommet_69,sommet_35,chemin,10.874415846374543,arete_9
sommet_47,sommet_28,chemin,16.780332829281914,arete_88
sommet_82,sommet_11,chemin,14.578582489152492,arete_89
sommet_49,sommet_2,chemin,8.962076978946547,arete_21
sommet_62,sommet_99,arrivee,5.814610207187794,arete_48
sommet_76,sommet_22,chemin,19.5940288575067,arete_28
sommet_55,sommet_60,chemin,17.221172202686397,arete_12
sommet_75,sommet_19,arrivee,2.19182162578887,arete_27
sommet_93,sommet_44,chemin,0.7287551445317808,arete_62
sommet_73,sommet_53,chemin,7.263280552141083,arete_46
sommet_63,sommet_62,chemin,4.946517553829281,arete_8
sommet_60,sommet_3,chemin,18.505300040909873,arete_31
sommet_61,sommet_67,chemin,17.07213293589001,arete_84
sommet_39,sommet_98,chemin,13.097134172023381,arete_4
sommet_84,sommet_81,depart,13.568922314091616,arete_5
sommet_87,sommet_20,chemin,5.433337292155573,arete_56
sommet_81,sommet_26,chemin,7.567242382811383,arete_67
sommet_77,sommet_57,chemin,6.262254379897085,arete_51
sommet_86,sommet_69,chemin,18.866590103770925,arete_0
sommet_32,sommet_13,chemin,2.851434453916839,arete_78
sommet_52,sommet_80,chemin,3.1853469505759557,arete_24
sommet_44,sommet_97,chemin,13.222037203895141,arete_18
sommet_5,sommet_42,chemin,4.4906893618271155,arete_75
sommet_22,sommet_48,chemin,8.948831387409328,arete_32
sommet_4,sommet_32,chemin,13.868770981363042,arete_66
sommet_68,sommet_5,chemin,2.134605896104884,arete_54
sommet_20,sommet_45,chemin,12.545902319670457,arete_1
sommet_1,sommet_71,chemin,13.02734274108311,arete_23
sommet_90,sommet_68,chemin,17.369513825686834,arete_10
sommet_92,sommet_74,arrivee,5.086618145044084,arete_71
sommet_41,sommet_93,chemin,6.470509444054702,arete_3
sommet_21,sommet_29,chemin,5.5566938150478755,arete_64
sommet_70,sommet_15,chemin,8.202682723358144,arete_40
sommet_13,sommet_75,chemin,13.359543369765756,arete_19
sommet_0,sommet_4,chemin,19.516009581061894,arete_37
sommet_95,sommet_8,chemin,2.744767238332948,arete_57
